Test Case ID,Module,Feature,Test Case Title,Priority,Test Type,Platform,Preconditions,Test Steps,Expected Result,Sync Status,Actual Result,Pass/Fail,Notes
TC-134,Lifecycle,Backgrounding,"Background app during Gemini fetch, quiz and IAP",High,Negative,Both,Each flow mid-operation,"1. Start Get Explanation, background, return. 2. Repeat for quiz and purchase.",Each flow resumes or fails gracefully; no crash or stuck spinner.,Verify,,,Test each flow manually
TC-135,Lifecycle,iPad Rotation,Rotate iPad with verse menu and share popover open,High,Regression,iPad,iPad device,"1. Open verse menu, rotate. 2. Open share popover, rotate.",Sheets/popovers reposition or dismiss cleanly; no popover anchor crash.,Aligned,,,
TC-136,Wallpaper,Editor,Image editor flow edits and saves verse image,Medium,Functional,Both,Wallpaper flow open,1. Create verse image. 2. Open IMageEditingPageVc. 3. Edit. 4. Save/share.,Edits applied; saved image reflects changes; appears in gallery.,Aligned,,,
TC-137,Search,Result Actions,Copy and Share from search result menu,Medium,Functional,Both,Search results displayed,1. Open result menu. 2. Tap Copy. 3. Tap Share on another result.,Copy places correct verse on clipboard; share sheet opens.,Aligned,,,
TC-138,Search,Special Input,Search handles special characters and emoji,Low,Negative,Both,Search screen open,"1. Search with punctuation, numbers, emoji, long string.",No crash; sensible no-results handling.,Aligned,,,
TC-139,Daily Verse,List UI,Daily verse history labels and backgrounds,Low,UI,Both,Several days in CDDailyVerses,1. Open Check Now list. 2. Scroll history.,Today/weekday labels correct; S1-S10 backgrounds; Copy/Share/Read per row.,Aligned,,,
TC-140,Settings,Static Pages,"About Us, More Apps and Help/FAQ open correctly",Low,Functional,Both,Settings open; internet available,"1. Open About Us, More Apps, Help/FAQ.",Each loads; back navigation works; offline shows graceful message.,Aligned,,,
TC-141,Settings,Rate Us Prompts,rateus1/2/3 prompts trigger per rules,Low,Functional,Both,Fresh install,1. Hit rate-us trigger points in ReaderViewController.,Prompts appear per UserDefaults rules; dismiss respected.,Aligned,,,
TC-142,Ads,Offer Screen,Offer screen when OfferClick exceeds threshold,Medium,Functional,Both,Free user near threshold,1. Perform actions that increment OfferClick until threshold.,Offer screen appears per server offer_count rules.,Aligned,,,
TC-143,Ads,Fill Failure,Ad fails to load - user flow continues,High,Negative,Both,No ad fill or stubbed ad code,1. Tap verse / Mark as Read.,User flow completes without indefinite wait; no crash.,Stubbed,,,IndestrialAd/CallInterstitialAd largely empty — interstitials may not show
TC-144,Ads,ATT Denied,Ad behavior when ATT denied,Medium,Functional,Both,ATT permission denied,1. Deny ATT. 2. Use ad-triggering flows.,Document behavior with live IronSource/AdMob config; no crash.,Stubbed,,,Requires live ad SDK on device
TC-145,Notifications,Permission Denied,Notification toggle with system permission denied,Medium,Negative,Both,System notification permission denied,1. Deny permission. 2. Toggle notifications in Settings.,Clear message or Settings redirect; no silent failure or crash.,Aligned,,,
TC-146,Notifications,Foreground,Notification arriving while app is foreground,Low,Functional,Both,Notification scheduled while app open,1. Keep app open at scheduled time.,Banner or in-app handling per spec; tap routes correctly.,Aligned,,,
TC-147,Widget,No Data,Widget before app shares data shows fallback,Low,Negative,Both,Fresh install; widget added early,1. Add verse widget before using app.,Fallback Thessalonians text shown; not blank widget.,Aligned,,,
TC-148,Accessibility,VoiceOver,VoiceOver pass on reader and verse menu,Medium,Accessibility,Both,VoiceOver enabled,"1. Navigate reader and verse menu with VoiceOver.",Ideally all controls announced; currently few/no explicit accessibility labels in code.,Gap,,,No accessibilityLabel found in project — likely fails
TC-149,Accessibility,Dynamic Type,Largest system text size on key screens,Low,UI,Both,System text size at maximum,"1. Set max Dynamic Type. 2. Open Home, reader, verse menu, Settings.",Many fixed font sizes in XIBs — clipping possible.,Gap,,,Dynamic Type not systematically supported
TC-150,Localization,Language Pack,Non-English language pack and Gemini language_code,Medium,Functional,Both,APP_TYPE=2 or second language 102.zip if configured,1. Verify language pack. 2. Open reader and audio. 3. Request explanation.,Bible content and audio.plist load; Gemini uses language_code UserDefaults.,Aligned,,,Second zip 102.zip when APP_TYPE==2
